District,Description,Establishments,Workforce
Attock,"Agriculture, forestry and fishing",7033.0,20211.0
Attock,Mining and quarrying,0.0,0.0
Attock,Manufacturing,8718.0,20813.0
Attock,"Electricity, gas, steam and air conditioning supply",5.0,104.0
Attock,"Water supply; sewerage, waste management and remediation activities",351.0,748.0
Attock,Construction,59.0,617.0
Attock,Wholesale and retail trade; repair of motor vehicles and motorcycles,31526.0,58562.0
Attock,Transportation and storage,909.0,1669.0
Attock,Accommodation and food service activities,2920.0,8718.0
Attock,Information and communication,398.0,2797.0
Attock,Financial and insurance activities,261.0,2214.0
Attock,Real estate activities,512.0,1274.0
Attock,"Professional, scientific and technical activities",363.0,2219.0
Attock,Administrative and support service activities,439.0,991.0
Attock,Public administration and defence; compulsory social security,394.0,9523.0
Attock,Education,3296.0,42667.0
Attock,Human health and social work activities,973.0,8338.0
Attock,"Arts, entertainment and recreation",139.0,297.0
Attock,Other service activities,9873.0,23832.0
Attock,Activities of extraterritorial organizations and bodies,0.0,0.0
Attock,Others,345.0,677.0
Attock,Old homes /Orphanage,3.0,47.0
Attock,Hostel,124.0,1116.0
Attock,Hotel,2804.0,7764.0
Attock,Hospital,908.0,5528.0
Attock,Maddrasa,390.0,3038.0
Attock,School,2440.0,32492.0
Attock,College,133.0,3988.0
Attock,University,0.0,0.0
Attock,Masjid,6271.0,15358.0
Attock,Shop Retail,26633.0,48475.0
Attock,Shop Wholesale,1583.0,3287.0
Attock,Shop Service,9206.0,21842.0
Attock,Shop Production,8415.0,15137.0
Attock,Factory,97.0,5243.0
Attock,Semi Govt. Office,108.0,750.0
Attock,Govt. Office,438.0,9006.0
Attock,Post Office,107.0,428.0
Attock,Bank,220.0,2108.0
Attock,Police Station,42.0,759.0
Attock,Cattle Farming,7061.0,20255.0
Attock,Others,1531.0,9650.0
Bahawalnagar,"Agriculture, forestry and fishing",28138.0,43141.0
Bahawalnagar,Mining and quarrying,0.0,0.0
Bahawalnagar,Manufacturing,10670.0,37946.0
Bahawalnagar,"Electricity, gas, steam and air conditioning supply",1.0,1.0
Bahawalnagar,"Water supply; sewerage, waste management and remediation activities",1378.0,1763.0
Bahawalnagar,Construction,36.0,281.0
Bahawalnagar,Wholesale and retail trade; repair of motor vehicles and motorcycles,46990.0,81995.0
Bahawalnagar,Transportation and storage,665.0,1854.0
Bahawalnagar,Accommodation and food service activities,2979.0,8552.0
Bahawalnagar,Information and communication,529.0,1527.0
Bahawalnagar,Financial and insurance activities,286.0,3080.0
Bahawalnagar,Real estate activities,848.0,2374.0
Bahawalnagar,"Professional, scientific and technical activities",567.0,1924.0
Bahawalnagar,Administrative and support service activities,311.0,723.0
Bahawalnagar,Public administration and defence; compulsory social security,398.0,7227.0
Bahawalnagar,Education,5384.0,60045.0
Bahawalnagar,Human health and social work activities,1319.0,7167.0
Bahawalnagar,"Arts, entertainment and recreation",140.0,302.0
Bahawalnagar,Other service activities,15238.0,30680.0
Bahawalnagar,Activities of extraterritorial organizations and bodies,0.0,0.0
Bahawalnagar,Others,578.0,749.0
Bahawalnagar,Old homes /Orphanage,2.0,30.0
Bahawalnagar,Hostel,93.0,1165.0
Bahawalnagar,Hotel,2895.0,7818.0
Bahawalnagar,Hospital,1258.0,6802.0
Bahawalnagar,Maddrasa,937.0,6261.0
Bahawalnagar,School,3755.0,47659.0
Bahawalnagar,College,163.0,2919.0
Bahawalnagar,University,0.0,0.0
Bahawalnagar,Masjid,10174.0,23779.0
Bahawalnagar,Shop Retail,39556.0,66252.0
Bahawalnagar,Shop Wholesale,2338.0,6285.0
Bahawalnagar,Shop Service,13070.0,24622.0
Bahawalnagar,Shop Production,10213.0,19295.0
Bahawalnagar,Factory,243.0,18035.0
Bahawalnagar,Semi Govt. Office,80.0,435.0
Bahawalnagar,Govt. Office,429.0,5670.0
Bahawalnagar,Post Office,72.0,361.0
Bahawalnagar,Bank,272.0,3059.0
Bahawalnagar,Police Station,39.0,711.0
Bahawalnagar,Cattle Farming,28283.0,43369.0
Bahawalnagar,Others,2583.0,6804.0
Bahawalpur,"Agriculture, forestry and fishing",23403.0,45450.0
Bahawalpur,Mining and quarrying,0.0,0.0
Bahawalpur,Manufacturing,14184.0,43439.0
Bahawalpur,"Electricity, gas, steam and air conditioning supply",4.0,43.0
Bahawalpur,"Water supply; sewerage, waste management and remediation activities",2115.0,3067.0
Bahawalpur,Construction,72.0,740.0
Bahawalpur,Wholesale and retail trade; repair of motor vehicles and motorcycles,58189.0,105437.0
Bahawalpur,Transportation and storage,637.0,2644.0
Bahawalpur,Accommodation and food service activities,5055.0,16508.0
Bahawalpur,Information and communication,757.0,2979.0
Bahawalpur,Financial and insurance activities,348.0,4278.0
Bahawalpur,Real estate activities,986.0,2823.0
Bahawalpur,"Professional, scientific and technical activities",439.0,1780.0
Bahawalpur,Administrative and support service activities,400.0,1684.0
Bahawalpur,Public administration and defence; compulsory social security,624.0,13047.0
Bahawalpur,Education,5900.0,92904.0
Bahawalpur,Human health and social work activities,1874.0,11803.0
Bahawalpur,"Arts, entertainment and recreation",342.0,1047.0
Bahawalpur,Other service activities,22536.0,55040.0
Bahawalpur,Activities of extraterritorial organizations and bodies,0.0,0.0
Bahawalpur,Others,712.0,2759.0
Bahawalpur,Old homes /Orphanage,3.0,43.0
Bahawalpur,Hostel,487.0,4276.0
Bahawalpur,Hotel,4606.0,12800.0
Bahawalpur,Hospital,1807.0,11340.0
Bahawalpur,Maddrasa,789.0,8290.0
Bahawalpur,School,3920.0,69905.0
Bahawalpur,College,249.0,5239.0
Bahawalpur,University,3.0,243.0
Bahawalpur,Masjid,16122.0,48309.0
Bahawalpur,Shop Retail,50265.0,88348.0
Bahawalpur,Shop Wholesale,2408.0,5219.0
Bahawalpur,Shop Service,15639.0,31608.0
Bahawalpur,Shop Production,13582.0,29230.0
Bahawalpur,Factory,265.0,13640.0
Bahawalpur,Semi Govt. Office,125.0,2040.0
Bahawalpur,Govt. Office,578.0,12682.0
Bahawalpur,Post Office,75.0,417.0
Bahawalpur,Bank,319.0,4205.0
Bahawalpur,Police Station,38.0,944.0
Bahawalpur,Cattle Farming,23551.0,45673.0
Bahawalpur,Others,3746.0,13021.0
Bhakkar,"Agriculture, forestry and fishing",6425.0,11980.0
Bhakkar,Mining and quarrying,1.0,2.0
Bhakkar,Manufacturing,7161.0,22585.0
Bhakkar,"Electricity, gas, steam and air conditioning supply",0.0,0.0
Bhakkar,"Water supply; sewerage, waste management and remediation activities",551.0,766.0
Bhakkar,Construction,20.0,117.0
Bhakkar,Wholesale and retail trade; repair of motor vehicles and motorcycles,29199.0,45846.0
Bhakkar,Transportation and storage,475.0,984.0
Bhakkar,Accommodation and food service activities,2193.0,5621.0
Bhakkar,Information and communication,316.0,732.0
Bhakkar,Financial and insurance activities,119.0,1263.0
Bhakkar,Real estate activities,477.0,764.0
Bhakkar,"Professional, scientific and technical activities",337.0,1091.0
Bhakkar,Administrative and support service activities,178.0,314.0
Bhakkar,Public administration and defence; compulsory social security,228.0,4052.0
Bhakkar,Education,2941.0,31757.0
Bhakkar,Human health and social work activities,825.0,3653.0
Bhakkar,"Arts, entertainment and recreation",67.0,126.0
Bhakkar,Other service activities,11023.0,16624.0
Bhakkar,Activities of extraterritorial organizations and bodies,0.0,0.0
Bhakkar,Others,331.0,895.0
Bhakkar,Old homes /Orphanage,0.0,0.0
Bhakkar,Hostel,72.0,340.0
Bhakkar,Hotel,2123.0,5319.0
Bhakkar,Hospital,790.0,3491.0
Bhakkar,Maddrasa,233.0,1558.0
Bhakkar,School,2342.0,26357.0
Bhakkar,College,98.0,2347.0
Bhakkar,University,1.0,213.0
Bhakkar,Masjid,7672.0,12835.0
Bhakkar,Shop Retail,24603.0,36997.0
Bhakkar,Shop Wholesale,1620.0,2995.0
Bhakkar,Shop Service,8053.0,13551.0
Bhakkar,Shop Production,6804.0,12247.0
Bhakkar,Factory,161.0,10134.0
Bhakkar,Semi Govt. Office,76.0,364.0
Bhakkar,Govt. Office,226.0,2601.0
Bhakkar,Post Office,32.0,225.0
Bhakkar,Bank,105.0,1222.0
Bhakkar,Police Station,24.0,490.0
Bhakkar,Cattle Farming,6477.0,12052.0
Bhakkar,Others,1355.0,3834.0
Faisalabad,"Agriculture, forestry and fishing",61317.0,103698.0
Faisalabad,Mining and quarrying,2.0,5.0
Faisalabad,Manufacturing,35966.0,294191.0
Faisalabad,"Electricity, gas, steam and air conditioning supply",20.0,626.0
Faisalabad,"Water supply; sewerage, waste management and remediation activities",2077.0,4464.0
Faisalabad,Construction,102.0,488.0
Faisalabad,Wholesale and retail trade; repair of motor vehicles and motorcycles,181751.0,402088.0
Faisalabad,Transportation and storage,3382.0,16512.0
Faisalabad,Accommodation and food service activities,12892.0,45962.0
Faisalabad,Information and communication,1948.0,7405.0
Faisalabad,Financial and insurance activities,823.0,11483.0
Faisalabad,Real estate activities,3846.0,9216.0
Faisalabad,"Professional, scientific and technical activities",1299.0,3159.0
Faisalabad,Administrative and support service activities,1235.0,3358.0
Faisalabad,Public administration and defence; compulsory social security,1133.0,32017.0
Faisalabad,Education,9626.0,175742.0
Faisalabad,Human health and social work activities,5728.0,29073.0
Faisalabad,"Arts, entertainment and recreation",1207.0,2178.0
Faisalabad,Other service activities,43265.0,83416.0
Faisalabad,Activities of extraterritorial organizations and bodies,0.0,0.0
Faisalabad,Others,1974.0,7366.0
Faisalabad,Old homes /Orphanage,9.0,103.0
Faisalabad,Hostel,852.0,7514.0
Faisalabad,Hotel,12072.0,38569.0
Faisalabad,Hospital,5587.0,28292.0
Faisalabad,Maddrasa,1310.0,12023.0
Faisalabad,School,7313.0,143253.0
Faisalabad,College,438.0,12610.0
Faisalabad,University,11.0,1905.0
Faisalabad,Masjid,13248.0,50322.0
Faisalabad,Shop Retail,157660.0,365428.0
Faisalabad,Shop Wholesale,12440.0,25787.0
Faisalabad,Shop Service,52660.0,85304.0
Faisalabad,Shop Production,31658.0,89196.0
Faisalabad,Factory,2700.0,186899.0
Faisalabad,Semi Govt. Office,393.0,5393.0
Faisalabad,Govt. Office,1177.0,29695.0
Faisalabad,Post Office,175.0,1442.0
Faisalabad,Bank,718.0,10445.0
Faisalabad,Police Station,95.0,3376.0
Faisalabad,Cattle Farming,61765.0,104390.0
Faisalabad,Others,7312.0,30501.0
Chakwal,"Agriculture, forestry and fishing",5680.0,10912.0
Chakwal,Mining and quarrying,3.0,272.0
Chakwal,Manufacturing,7638.0,24405.0
Chakwal,"Electricity, gas, steam and air conditioning supply",9.0,94.0
Chakwal,"Water supply; sewerage, waste management and remediation activities",273.0,423.0
Chakwal,Construction,28.0,106.0
Chakwal,Wholesale and retail trade; repair of motor vehicles and motorcycles,27926.0,47847.0
Chakwal,Transportation and storage,687.0,1478.0
Chakwal,Accommodation and food service activities,2464.0,7421.0
Chakwal,Information and communication,416.0,938.0
Chakwal,Financial and insurance activities,213.0,1983.0
Chakwal,Real estate activities,386.0,739.0
Chakwal,"Professional, scientific and technical activities",250.0,898.0
Chakwal,Administrative and support service activities,420.0,771.0
Chakwal,Public administration and defence; compulsory social security,264.0,4344.0
Chakwal,Education,3088.0,34770.0
Chakwal,Human health and social work activities,968.0,4657.0
Chakwal,"Arts, entertainment and recreation",103.0,188.0
Chakwal,Other service activities,9110.0,15700.0
Chakwal,Activities of extraterritorial organizations and bodies,0.0,0.0
Chakwal,Others,379.0,605.0
Chakwal,Old homes /Orphanage,0.0,0.0
Chakwal,Hostel,86.0,696.0
Chakwal,Hotel,2381.0,6824.0
Chakwal,Hospital,917.0,4421.0
Chakwal,Maddrasa,270.0,1336.0
Chakwal,School,2325.0,27053.0
Chakwal,College,180.0,4184.0
Chakwal,University,1.0,5.0
Chakwal,Masjid,6258.0,11898.0
