Continent,Region,Country,Year,Criminality_avg,Resilience_avg,Criminal_markets_avg,Human_trafficking,Human_smuggling,Extortion_protection_racketeering,Arms_trafficking,Trade_counterfeit_goods,Illicit_trade_excisable_goods,Flora_crimes,Fauna_crimes,Non_renewable_resource_crimes,Heroin_trade,Cocaine_trade,Cannabis_trade,Synthetic_drug_trade,Cyber_dependent_crimes,Financial_crimes,Criminal_actors_avg,Mafia_style_groups,Criminal_networks,State_embedded_actors,Foreign_actors,Private_sector_actors,Political_leadership_governance,Government_transparency_accountability,International_cooperation,National_policies_laws,Judicial_system_detention,Law_enforcement,Territorial_integrity,Anti_money_laundering,Economic_regulatory_capacity,Victim_witness_support,Prevention,Non_state_actors,Criminality_avg_change,Resilience_avg_change,Criminality_avg_pct_change,Resilience_avg_pct_change,Human_crimes_avg,Drug_trade_avg,Environmental_crimes_avg,Cyber_financial_crimes_avg,Institutional_resilience_avg,Security_resilience_avg,Criminality_risk_category,Resilience_strength_category,Risk_resilience_gap
Asia,Southern Asia,Afghanistan,2021,7.08,2.67,6.9,8.5,8.0,,8.5,,,6.0,4.0,8.0,9.5,1.0,7.0,8.5,,,7.25,7.5,8.5,9.0,4.0,,3.0,2.5,3.0,3.0,2.0,3.0,3.0,3.0,3.5,2.0,2.0,2.0,,,,,8.25,6.5,6.0,,2.8333333333333335,2.6666666666666665,Very High,Weak,-0.25
Asia,Southern Asia,Afghanistan,2023,7.1,1.5,7.0,9.0,9.5,6.0,9.0,8.5,9.0,5.5,3.5,6.5,9.5,1.0,7.5,9.0,4.0,7.5,7.2,5.0,8.0,9.0,6.0,8.0,1.5,1.0,1.0,1.5,1.5,1.5,3.5,1.0,1.5,1.5,1.5,1.0,0.019999999999999574,-1.17,0.28248587570620654,-43.82022471910112,9.25,6.75,5.166666666666667,5.75,1.3333333333333333,2.1666666666666665,Very High,Weak,-1.4000000000000004
Asia,Southern Asia,Afghanistan,2025,7.02,1.5,6.93,9.0,9.0,6.0,9.0,8.5,9.0,5.5,4.0,6.5,9.0,1.0,7.0,8.5,4.0,8.0,7.1,4.5,8.0,9.0,6.0,8.0,2.0,1.0,1.5,1.5,1.5,1.5,3.5,1.0,1.5,1.0,1.0,1.0,-0.08000000000000007,0.0,-1.1267605633802802,0.0,9.0,6.375,5.333333333333333,6.0,1.5,2.1666666666666665,Very High,Weak,-1.4800000000000004
Europe,Central & Eastern Europe,Albania,2021,5.63,5.04,5.25,5.0,6.5,,4.5,,,4.5,3.5,5.5,6.0,7.0,7.0,3.0,,,6.0,7.0,7.5,7.0,2.5,,5.5,4.5,6.5,6.0,5.0,5.5,5.5,4.0,4.0,4.5,5.0,4.5,,,,,5.75,5.75,4.5,,5.333333333333333,5.333333333333333,Moderate,Moderate,0.6699999999999999
Europe,Central & Eastern Europe,Albania,2023,5.17,5.13,4.83,5.0,6.0,3.5,4.5,3.0,3.0,4.5,3.5,5.0,6.0,6.5,6.5,3.5,6.0,6.0,5.5,6.5,7.0,6.5,3.0,4.5,5.0,4.5,7.0,6.0,6.0,5.0,5.5,4.0,4.0,4.5,5.0,5.0,-0.45999999999999996,0.08999999999999986,-8.170515097690945,1.7857142857142794,5.5,5.625,4.333333333333333,6.0,5.166666666666667,5.5,Moderate,Moderate,0.2999999999999998
Europe,Central & Eastern Europe,Albania,2025,5.2,5.17,4.9,5.5,6.0,4.0,4.5,3.5,3.0,4.0,3.5,5.0,5.5,7.0,6.5,4.0,5.5,6.0,5.5,6.5,7.0,6.5,3.0,4.5,5.0,4.5,7.0,6.0,5.5,5.5,5.5,4.5,4.0,4.5,5.0,5.0,0.03000000000000025,0.040000000000000036,0.5802707930367523,0.7797270955165692,5.75,5.75,4.166666666666667,5.75,5.166666666666667,5.5,Moderate,Moderate,0.3700000000000001
Africa,North Africa,Algeria,2021,4.51,4.63,4.65,4.5,6.5,,5.0,,,2.0,4.5,6.5,2.0,3.5,6.5,5.5,,,4.38,1.0,5.0,7.0,4.5,,4.5,4.0,5.0,6.0,4.0,6.0,6.5,4.5,4.5,3.0,4.0,3.5,,,,,5.5,4.375,4.333333333333333,,4.833333333333333,5.5,Low,Moderate,-0.8600000000000003
Africa,North Africa,Algeria,2023,4.88,4.38,5.17,4.0,7.0,3.0,4.5,6.0,6.5,2.0,5.5,7.0,2.5,4.0,7.0,6.5,4.0,8.0,4.6,1.5,5.0,7.5,5.0,4.0,4.5,3.0,5.0,6.0,3.0,6.0,6.5,5.0,4.5,3.0,3.5,2.5,0.3700000000000001,-0.25,8.203991130820398,-5.399568034557234,5.5,5.0,4.833333333333333,6.0,4.5,5.166666666666667,Low,Moderate,-0.7400000000000002
Africa,North Africa,Algeria,2025,4.97,4.25,5.33,4.0,7.5,3.0,4.5,6.0,6.5,1.5,5.5,7.5,2.5,4.5,7.0,7.5,4.5,8.0,4.6,1.0,5.0,7.5,5.0,4.5,4.5,3.0,5.0,6.5,3.0,6.0,5.5,4.0,4.5,3.0,3.5,2.5,0.08999999999999986,-0.1299999999999999,1.8442622950819665,-2.9680365296803624,5.75,5.375,4.833333333333333,6.25,4.666666666666667,4.833333333333333,Low,Moderate,-0.7800000000000002
Europe,Western Europe,Andorra,2021,2.96,7.75,2.55,2.5,3.0,,3.0,,,1.0,1.0,3.5,2.0,3.5,4.5,1.5,,,3.38,1.0,4.0,1.5,7.0,,7.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.5,8.0,8.5,,,,,2.75,2.875,1.8333333333333333,,7.333333333333333,8.0,Very Low,Strong,0.71
Europe,Western Europe,Andorra,2023,3.22,7.96,2.73,2.5,3.0,1.0,2.5,2.0,5.0,1.0,1.0,3.0,2.0,3.5,4.5,1.5,2.0,6.5,3.7,1.0,4.0,1.5,6.0,6.0,7.0,7.5,8.5,8.5,8.0,8.5,7.5,7.0,8.0,8.5,8.5,8.0,0.26000000000000023,0.20999999999999996,8.783783783783793,2.709677419354839,2.75,2.875,1.6666666666666667,4.25,7.666666666666667,8.0,Very Low,Strong,1.1800000000000002
Europe,Western Europe,Andorra,2025,2.7,8.0,2.2,1.5,1.5,1.0,2.5,1.5,4.0,1.0,1.5,1.0,1.5,3.0,4.0,1.5,2.0,5.5,3.2,1.0,3.5,1.0,5.5,5.0,7.0,7.5,8.5,8.5,8.0,8.5,7.5,7.5,8.0,8.5,8.5,8.0,-0.52,0.040000000000000036,-16.149068322981364,0.5025125628140614,1.5,2.5,1.1666666666666667,3.75,7.666666666666667,8.0,Very Low,Strong,0.7000000000000002
Africa,Central Africa,Angola,2021,5.29,4.42,5.2,6.0,4.0,,6.0,,,7.0,4.5,8.5,3.0,6.0,4.5,2.5,,,5.38,3.0,5.5,8.0,5.0,,5.0,4.5,5.0,5.0,3.5,4.5,6.0,5.0,4.0,4.0,3.5,3.0,,,,,5.0,4.0,6.666666666666667,,4.833333333333333,4.666666666666667,Moderate,Moderate,-0.29000000000000004
Africa,Central Africa,Angola,2023,5.58,4.5,5.17,6.5,5.0,2.0,6.0,4.5,6.0,7.5,5.5,8.0,3.0,6.5,4.5,2.5,5.0,5.0,6.0,3.5,6.0,8.0,5.0,7.5,5.0,5.0,5.0,5.0,3.5,4.5,5.5,5.0,4.5,4.0,4.0,3.0,0.29000000000000004,0.08000000000000007,5.482041587901709,1.8099547511312153,5.75,4.125,7.0,5.0,5.0,4.5,Moderate,Moderate,0.08000000000000007
Africa,Central Africa,Angola,2025,5.62,4.21,5.33,6.0,5.0,2.5,6.0,5.0,6.0,7.5,6.0,8.0,2.5,7.0,4.5,2.5,5.5,6.0,5.9,2.5,6.0,8.0,5.5,7.5,4.0,4.5,5.0,5.0,3.0,4.0,5.5,4.5,4.5,3.5,4.0,3.0,0.040000000000000036,-0.29000000000000004,0.7168458781362075,-6.444444444444441,5.5,4.125,7.166666666666667,5.75,4.5,4.166666666666667,Moderate,Moderate,-0.16999999999999993
Americas,Caribbean ,Antigua and Barbuda,2021,3.34,4.33,3.05,4.0,2.0,,3.0,,,1.0,3.5,1.5,3.0,6.0,5.0,1.5,,,3.63,3.0,3.0,3.0,5.5,,4.5,5.0,5.0,5.0,3.0,4.0,4.0,2.5,5.0,4.0,4.5,5.5,,,,,3.0,3.875,2.0,,4.833333333333333,3.6666666666666665,Very Low,Moderate,-2.33
